Name;New_Measure_24-04-2023;
Description;;
Measure-Intervall;00:00:00.0040000;
;;

Time SN:540273 (S30X):P1;SN:540273 (S30X):P1 bar;Time SN:540273 (S30X):TOB1;SN:540273 (S30X):TOB1 °C;
24.04.2023 22:35:00.815;0,0052139;24.04.2023 22:35:00.847;12,9716797;
24.04.2023 22:35:00.879;0,0054651;24.04.2023 22:35:00.911;12,9716797;
24.04.2023 22:35:00.943;0,0056797;24.04.2023 22:35:00.975;12,9599609;
24.04.2023 22:35:01.007;0,0059314;24.04.2023 22:35:01.039;12,9599609;
24.04.2023 22:35:01.071;0,0062122;24.04.2023 22:35:01.110;12,9599609;
24.04.2023 22:35:01.135;0,0065467;24.04.2023 22:35:01.167;12,9599609;
24.04.2023 22:35:01.199;0,0068996;24.04.2023 22:35:01.231;12,9599609;
24.04.2023 22:35:01.263;0,0072718;24.04.2023 22:35:01.296;12,9599609;
24.04.2023 22:35:01.327;0,0076417;24.04.2023 22:35:01.359;12,9599609;
24.04.2023 22:35:01.391;0,0080236;24.04.2023 22:35:01.423;12,9599609;
24.04.2023 22:35:01.455;0,0084849;24.04.2023 22:35:01.473;12,9599609;
24.04.2023 22:35:01.505;0,0087702;24.04.2023 22:35:01.537;12,9599609;
24.04.2023 22:35:01.568;0,0090745;24.04.2023 22:35:01.601;12,9599609;
24.04.2023 22:35:01.633;0,0093878;24.04.2023 22:35:01.664;12,9599609;
24.04.2023 22:35:01.697;0,0097165;24.04.2023 22:35:01.729;12,9599609;
24.04.2023 22:35:01.760;0,0100369;24.04.2023 22:35:01.792;12,9599609;
24.04.2023 22:35:01.825;0,0103337;24.04.2023 22:35:01.856;12,9599609;
24.04.2023 22:35:01.888;0,0106527;24.04.2023 22:35:01.920;12,9599609;
24.04.2023 22:35:01.952;0,010966;24.04.2023 22:35:01.984;12,9716797;
24.04.2023 22:35:02.016;0,0113919;24.04.2023 22:35:02.048;12,9716797;
24.04.2023 22:35:02.080;0,0119642;24.04.2023 22:35:02.112;12,9716797;
24.04.2023 22:35:02.144;0,012429;24.04.2023 22:35:02.176;12,9716797;
24.04.2023 22:35:02.208;0,0127899;24.04.2023 22:35:02.240;12,9716797;
24.04.2023 22:35:02.272;0,0133444;24.04.2023 22:35:02.304;12,9716797;
24.04.2023 22:35:02.336;0,0137324;24.04.2023 22:35:02.368;12,9716797;
24.04.2023 22:35:02.400;0,0141284;24.04.2023 22:35:02.432;12,9716797;
24.04.2023 22:35:02.464;0,0144719;24.04.2023 22:35:02.496;12,9716797;
24.04.2023 22:35:02.528;0,0148196;24.04.2023 22:35:02.560;12,9716797;
24.04.2023 22:35:02.592;0,0151091;24.04.2023 22:35:02.624;12,9716797;
24.04.2023 22:35:02.656;0,0154042;24.04.2023 22:35:02.688;12,9716797;
24.04.2023 22:35:02.720;0,0157189;24.04.2023 22:35:02.752;12,9716797;
24.04.2023 22:35:02.783;0,0160087;24.04.2023 22:35:02.816;12,9716797;
24.04.2023 22:35:02.847;0,0163677;24.04.2023 22:35:02.880;12,9716797;
